physique	physiqu
mathias	mathi
fink	fink
un	un
bel	bel
exemple	exempl
de	de
chercheur	chercheur
qui	qui
innove	innov
le	le
avril	avril
dernier	derni
cnrs	cnr
décernait	décern
pour	pour
la	la
première	premi
fois	fois
médaille	médaill
l	l
innovation	innov
dont	dont
valérie	valer
pécresse	pécress
ministre	ministr
enseignement	enseign
supérieur	supérieur
et	et
recherche	recherch
est	est
origine	origin
création	création
souhaite	souhait
ainsi	ains
honorer	honor
des	de
chercheurs	chercheur
ingénieurs	ingénieur
travaillant	travaill
dans	dan
établissements	établ
publics	public
universités	univers
grandes	grand
écoles	écol
mais	mais
aussi	auss
industriels	industriel
développent	développent
innovations	innov
marquantes	marqu
cette	cet
édition	édit
nouvelle	nouvel
distinction	distinct
a	a
été	été
attribuée	attribu
trois	trois
réputés	réput
économiste	économ
esther	esther
duflo	duflo
roboticien	roboticien
françois	françois
pierrot	pierrot
physicien	physicien
directeur	directeur
institut	institut
langevin	langevin
ondes	onde
images	imag
créé	cré
en	en
janvier	janvi
au	au
sein	sein
ecole	ecol
chimie	chim
industrielles	industriel
ville	vill
paris	paris
espci	espci
remarquable	remarqu
ces	ce
innovent	innovent
les	le
travaux	traval
son	son
équipe	équip
ont	ont
effet	effet
abouti	about
quatre	quatr
start	start
ups	up
totalisent	totalisent
personnes	person
domaines	domain
variés	vari
que	que
médecine	médecin
télécommunications	télécommun
multimédia	multimédi
ou	ou
encore	encor
objets	objet
tactiles	tactil
j	j
aime	aim
transformer	transform
idées	idé
très	tres
fondamentale	fondamental
produits	produit
innovants	innov
précise	précis
d	d
emblée	emblé
y	y
parvenir	parven
il	il
fallait	fall
trouver	trouv
terrain	terrain
propice	propic
c	c
fin	fin
années	anné
occasion	occas
une	une
rencontre	rencontr
avec	avec
georges	georg
charpak	charpak
prix	prix
nobel	nobel
qu	qu
va	va
découvrir	découvr
coeur	coeur
montagne	montagn
sainte	saint
geneviève	geneviev
plein	plein
alors	alor
plus	plus
grands	grand
laboratoires	laboratoir
français	franc
du	du
solide	solid
faire	fair
autour	autour
concept	concept
renversement	renvers
temps	temp
belle	bel
comme	comm
qualifient	qualifient
connaisseurs	connaisseur
intéresse	intéress
secteur	secteur
aéronautique	aéronaut
dassault	dassault
aerospatial	aerospatial
snecma	snecm
turboméca	turbomec
prêts	prêt
financer	financ
époque	époqu
milieu	milieu
peu	peu
enclin	enclin
travailler	travaill
industrie	industr
autant	aut
si	si
celle	cel
ci	ci
militaro	militaro
industrielle	industriel
se	se
retrouve	retrouv
isolé	isol
lui	lui
propose	propos
rencontrer	rencontr
pierre	pierr
gilles	gill
gennes	gen
jacques	jacqu
lewiner	lewin
scientifique	scientif
endroit	endroit
sympathique	sympath
